run,best
0,8.12806e-21
0,6.38747e-21
0,6.38747e-21
0,6.30826e-21
0,5.92156e-21
0,3.40565e-21
0,2.44449e-21
0,2.44449e-21
0,2.25884e-21
0,1.53833e-21
0,1.53833e-21
0,1.53833e-21
0,8.64697e-22
0,3.55527e-22
0,2.25313e-22
0,2.25313e-22
0,2.25313e-22
0,1.52043e-22
0,1.52043e-22
0,1.52043e-22
0,1.52043e-22
0,1.32233e-22
0,1.32233e-22
0,8.12827e-23
0,1.90186e-23
0,1.90186e-23
0,1.90186e-23
0,1.90186e-23
0,1.90186e-23
0,1.90186e-23
0,1.74405e-23
0,1.74405e-23
0,1.27539e-23
0,1.21693e-23
0,1.21693e-23
0,5.10323e-24
0,5.10323e-24
0,5.10323e-24
0,2.91132e-24
0,2.91132e-24
0,2.49379e-24
0,2.32846e-24
0,1.32527e-24
0,1.32527e-24
0,1.24155e-24
0,1.24155e-24
0,1.17492e-24
0,1.1327e-24
0,1.12463e-24
0,1.12463e-24
0,2.35951e-25
0,2.35951e-25
0,1.95398e-25
0,1.95398e-25
0,1.45739e-25
0,1.45739e-25
0,1.21597e-25
0,1.21597e-25
0,8.46723e-26
0,5.49105e-26
0,3.55701e-26
0,3.55701e-26
0,3.06494e-26
0,1.18589e-26
0,1.18589e-26
0,1.18589e-26
0,8.38201e-27
0,8.38201e-27
0,8.38201e-27
0,7.45284e-27
0,2.27749e-27
0,2.27749e-27
0,2.0748e-27
0,1.31345e-27
0,1.31345e-27
0,1.31345e-27
0,1.31345e-27
0,1.29341e-27
0,2.60251e-28
0,2.60251e-28
0,1.62238e-28
0,1.62238e-28
0,1.58907e-28
0,1.58907e-28
0,1.58907e-28
0,1.58907e-28
0,1.58907e-28
0,1.05737e-28
0,1.05737e-28
0,4.26011e-29
0,1.63479e-29
0,5.33131e-30
0,5.33131e-30
0,5.33131e-30
0,3.99115e-30
0,3.99115e-30
0,3.99115e-30
0,3.99115e-30
0,2.04441e-30
0,2.04441e-30
0,2.04441e-30
0,2.04441e-30
0,2.04441e-30
0,1.60068e-30
0,1.60068e-30
0,1.60068e-30
0,1.60068e-30
0,1.25555e-30
0,9.186e-31
